sequence,row_index,id,relative_path,source_sha256,source_size_bytes,expected_status,schedule_schema_version,schedule_design,schedule_sha256,repeat,schedule_row,complete_block,row_in_block,order_in_repeat,arm_position,label,arm,schedule_order_json,timing_scope,parser_inclusive,result,time_s,exit_code,process_returncode,timed_out,error_kind,error_detail,stdout,stderr,argv_json
0,0,305,QF_UF/2018-Goel-hwbench/QF_UF_frogs.2.prop1_ab_br_max.smt2,6db2ccdeecb6e2ef248596dc6b85a3bba3da39aa5dcdde859d5c1e05916417cc,1146846,sat,1,williams_first_order_carryover,6a33387751c3bd22424ee98b28101f4b1de99b8e0d0b6a0c2f86fca85c438527,0,0,0,0,0,0,viper-default,viper-default,"[""viper-default"",""viper-structural"",""llm2smt"",""z3""]",parser_inclusive_subprocess_wall_clock,1,timeout,5.004668208,124,-9,1,timeout,exceeded 5 seconds,,,"[""target/release/euf-viper"",""solve"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/2018-Goel-hwbench/QF_UF_frogs.2.prop1_ab_br_max.smt2""]"
1,0,305,QF_UF/2018-Goel-hwbench/QF_UF_frogs.2.prop1_ab_br_max.smt2,6db2ccdeecb6e2ef248596dc6b85a3bba3da39aa5dcdde859d5c1e05916417cc,1146846,sat,1,williams_first_order_carryover,6a33387751c3bd22424ee98b28101f4b1de99b8e0d0b6a0c2f86fca85c438527,0,0,0,0,1,1,viper-structural,viper-structural,"[""viper-default"",""viper-structural"",""llm2smt"",""z3""]",parser_inclusive_subprocess_wall_clock,1,timeout,5.003968500,124,-9,1,timeout,exceeded 5 seconds,,,"[""target/release/euf-viper"",""solve"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/2018-Goel-hwbench/QF_UF_frogs.2.prop1_ab_br_max.smt2""]"
2,0,305,QF_UF/2018-Goel-hwbench/QF_UF_frogs.2.prop1_ab_br_max.smt2,6db2ccdeecb6e2ef248596dc6b85a3bba3da39aa5dcdde859d5c1e05916417cc,1146846,sat,1,williams_first_order_carryover,6a33387751c3bd22424ee98b28101f4b1de99b8e0d0b6a0c2f86fca85c438527,0,0,0,0,2,2,llm2smt,llm2smt,"[""viper-default"",""viper-structural"",""llm2smt"",""z3""]",parser_inclusive_subprocess_wall_clock,1,sat,1.780681834,0,0,0,,,"sat
",,"[""third_party/solvers/llm2smt/build/bin/llm2smt"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/2018-Goel-hwbench/QF_UF_frogs.2.prop1_ab_br_max.smt2""]"
3,0,305,QF_UF/2018-Goel-hwbench/QF_UF_frogs.2.prop1_ab_br_max.smt2,6db2ccdeecb6e2ef248596dc6b85a3bba3da39aa5dcdde859d5c1e05916417cc,1146846,sat,1,williams_first_order_carryover,6a33387751c3bd22424ee98b28101f4b1de99b8e0d0b6a0c2f86fca85c438527,0,0,0,0,3,3,z3,z3,"[""viper-default"",""viper-structural"",""llm2smt"",""z3""]",parser_inclusive_subprocess_wall_clock,1,sat,0.063342375,0,0,0,,,"sat
",,"[""/opt/homebrew/bin/z3"",""-smt2"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/2018-Goel-hwbench/QF_UF_frogs.2.prop1_ab_br_max.smt2""]"
4,0,305,QF_UF/2018-Goel-hwbench/QF_UF_frogs.2.prop1_ab_br_max.smt2,6db2ccdeecb6e2ef248596dc6b85a3bba3da39aa5dcdde859d5c1e05916417cc,1146846,sat,1,williams_first_order_carryover,6a33387751c3bd22424ee98b28101f4b1de99b8e0d0b6a0c2f86fca85c438527,1,1,0,1,0,0,viper-structural,viper-structural,"[""viper-structural"",""z3"",""viper-default"",""llm2smt""]",parser_inclusive_subprocess_wall_clock,1,timeout,5.003921375,124,-9,1,timeout,exceeded 5 seconds,,,"[""target/release/euf-viper"",""solve"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/2018-Goel-hwbench/QF_UF_frogs.2.prop1_ab_br_max.smt2""]"
5,0,305,QF_UF/2018-Goel-hwbench/QF_UF_frogs.2.prop1_ab_br_max.smt2,6db2ccdeecb6e2ef248596dc6b85a3bba3da39aa5dcdde859d5c1e05916417cc,1146846,sat,1,williams_first_order_carryover,6a33387751c3bd22424ee98b28101f4b1de99b8e0d0b6a0c2f86fca85c438527,1,1,0,1,1,1,z3,z3,"[""viper-structural"",""z3"",""viper-default"",""llm2smt""]",parser_inclusive_subprocess_wall_clock,1,sat,0.062743542,0,0,0,,,"sat
",,"[""/opt/homebrew/bin/z3"",""-smt2"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/2018-Goel-hwbench/QF_UF_frogs.2.prop1_ab_br_max.smt2""]"
6,0,305,QF_UF/2018-Goel-hwbench/QF_UF_frogs.2.prop1_ab_br_max.smt2,6db2ccdeecb6e2ef248596dc6b85a3bba3da39aa5dcdde859d5c1e05916417cc,1146846,sat,1,williams_first_order_carryover,6a33387751c3bd22424ee98b28101f4b1de99b8e0d0b6a0c2f86fca85c438527,1,1,0,1,2,2,viper-default,viper-default,"[""viper-structural"",""z3"",""viper-default"",""llm2smt""]",parser_inclusive_subprocess_wall_clock,1,timeout,5.004030875,124,-9,1,timeout,exceeded 5 seconds,,,"[""target/release/euf-viper"",""solve"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/2018-Goel-hwbench/QF_UF_frogs.2.prop1_ab_br_max.smt2""]"
7,0,305,QF_UF/2018-Goel-hwbench/QF_UF_frogs.2.prop1_ab_br_max.smt2,6db2ccdeecb6e2ef248596dc6b85a3bba3da39aa5dcdde859d5c1e05916417cc,1146846,sat,1,williams_first_order_carryover,6a33387751c3bd22424ee98b28101f4b1de99b8e0d0b6a0c2f86fca85c438527,1,1,0,1,3,3,llm2smt,llm2smt,"[""viper-structural"",""z3"",""viper-default"",""llm2smt""]",parser_inclusive_subprocess_wall_clock,1,sat,1.799538334,0,0,0,,,"sat
",,"[""third_party/solvers/llm2smt/build/bin/llm2smt"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/2018-Goel-hwbench/QF_UF_frogs.2.prop1_ab_br_max.smt2""]"
8,0,305,QF_UF/2018-Goel-hwbench/QF_UF_frogs.2.prop1_ab_br_max.smt2,6db2ccdeecb6e2ef248596dc6b85a3bba3da39aa5dcdde859d5c1e05916417cc,1146846,sat,1,williams_first_order_carryover,6a33387751c3bd22424ee98b28101f4b1de99b8e0d0b6a0c2f86fca85c438527,2,2,0,2,0,0,z3,z3,"[""z3"",""llm2smt"",""viper-structural"",""viper-default""]",parser_inclusive_subprocess_wall_clock,1,sat,0.063271625,0,0,0,,,"sat
",,"[""/opt/homebrew/bin/z3"",""-smt2"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/2018-Goel-hwbench/QF_UF_frogs.2.prop1_ab_br_max.smt2""]"
9,0,305,QF_UF/2018-Goel-hwbench/QF_UF_frogs.2.prop1_ab_br_max.smt2,6db2ccdeecb6e2ef248596dc6b85a3bba3da39aa5dcdde859d5c1e05916417cc,1146846,sat,1,williams_first_order_carryover,6a33387751c3bd22424ee98b28101f4b1de99b8e0d0b6a0c2f86fca85c438527,2,2,0,2,1,1,llm2smt,llm2smt,"[""z3"",""llm2smt"",""viper-structural"",""viper-default""]",parser_inclusive_subprocess_wall_clock,1,sat,1.785855208,0,0,0,,,"sat
",,"[""third_party/solvers/llm2smt/build/bin/llm2smt"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/2018-Goel-hwbench/QF_UF_frogs.2.prop1_ab_br_max.smt2""]"
10,0,305,QF_UF/2018-Goel-hwbench/QF_UF_frogs.2.prop1_ab_br_max.smt2,6db2ccdeecb6e2ef248596dc6b85a3bba3da39aa5dcdde859d5c1e05916417cc,1146846,sat,1,williams_first_order_carryover,6a33387751c3bd22424ee98b28101f4b1de99b8e0d0b6a0c2f86fca85c438527,2,2,0,2,2,2,viper-structural,viper-structural,"[""z3"",""llm2smt"",""viper-structural"",""viper-default""]",parser_inclusive_subprocess_wall_clock,1,timeout,5.004146792,124,-9,1,timeout,exceeded 5 seconds,,,"[""target/release/euf-viper"",""solve"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/2018-Goel-hwbench/QF_UF_frogs.2.prop1_ab_br_max.smt2""]"
11,0,305,QF_UF/2018-Goel-hwbench/QF_UF_frogs.2.prop1_ab_br_max.smt2,6db2ccdeecb6e2ef248596dc6b85a3bba3da39aa5dcdde859d5c1e05916417cc,1146846,sat,1,williams_first_order_carryover,6a33387751c3bd22424ee98b28101f4b1de99b8e0d0b6a0c2f86fca85c438527,2,2,0,2,3,3,viper-default,viper-default,"[""z3"",""llm2smt"",""viper-structural"",""viper-default""]",parser_inclusive_subprocess_wall_clock,1,timeout,5.004258917,124,-9,1,timeout,exceeded 5 seconds,,,"[""target/release/euf-viper"",""solve"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/2018-Goel-hwbench/QF_UF_frogs.2.prop1_ab_br_max.smt2""]"
12,0,305,QF_UF/2018-Goel-hwbench/QF_UF_frogs.2.prop1_ab_br_max.smt2,6db2ccdeecb6e2ef248596dc6b85a3bba3da39aa5dcdde859d5c1e05916417cc,1146846,sat,1,williams_first_order_carryover,6a33387751c3bd22424ee98b28101f4b1de99b8e0d0b6a0c2f86fca85c438527,3,3,0,3,0,0,llm2smt,llm2smt,"[""llm2smt"",""viper-default"",""z3"",""viper-structural""]",parser_inclusive_subprocess_wall_clock,1,sat,1.778712458,0,0,0,,,"sat
",,"[""third_party/solvers/llm2smt/build/bin/llm2smt"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/2018-Goel-hwbench/QF_UF_frogs.2.prop1_ab_br_max.smt2""]"
13,0,305,QF_UF/2018-Goel-hwbench/QF_UF_frogs.2.prop1_ab_br_max.smt2,6db2ccdeecb6e2ef248596dc6b85a3bba3da39aa5dcdde859d5c1e05916417cc,1146846,sat,1,williams_first_order_carryover,6a33387751c3bd22424ee98b28101f4b1de99b8e0d0b6a0c2f86fca85c438527,3,3,0,3,1,1,viper-default,viper-default,"[""llm2smt"",""viper-default"",""z3"",""viper-structural""]",parser_inclusive_subprocess_wall_clock,1,timeout,5.004011875,124,-9,1,timeout,exceeded 5 seconds,,,"[""target/release/euf-viper"",""solve"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/2018-Goel-hwbench/QF_UF_frogs.2.prop1_ab_br_max.smt2""]"
14,0,305,QF_UF/2018-Goel-hwbench/QF_UF_frogs.2.prop1_ab_br_max.smt2,6db2ccdeecb6e2ef248596dc6b85a3bba3da39aa5dcdde859d5c1e05916417cc,1146846,sat,1,williams_first_order_carryover,6a33387751c3bd22424ee98b28101f4b1de99b8e0d0b6a0c2f86fca85c438527,3,3,0,3,2,2,z3,z3,"[""llm2smt"",""viper-default"",""z3"",""viper-structural""]",parser_inclusive_subprocess_wall_clock,1,sat,0.061991167,0,0,0,,,"sat
",,"[""/opt/homebrew/bin/z3"",""-smt2"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/2018-Goel-hwbench/QF_UF_frogs.2.prop1_ab_br_max.smt2""]"
15,0,305,QF_UF/2018-Goel-hwbench/QF_UF_frogs.2.prop1_ab_br_max.smt2,6db2ccdeecb6e2ef248596dc6b85a3bba3da39aa5dcdde859d5c1e05916417cc,1146846,sat,1,williams_first_order_carryover,6a33387751c3bd22424ee98b28101f4b1de99b8e0d0b6a0c2f86fca85c438527,3,3,0,3,3,3,viper-structural,viper-structural,"[""llm2smt"",""viper-default"",""z3"",""viper-structural""]",parser_inclusive_subprocess_wall_clock,1,timeout,5.003950625,124,-9,1,timeout,exceeded 5 seconds,,,"[""target/release/euf-viper"",""solve"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/2018-Goel-hwbench/QF_UF_frogs.2.prop1_ab_br_max.smt2""]"
16,1,924,QF_UF/PEQ/PEQ012_size6.smt2,b3ef5c792f5df9f55bddc92062262b75b3f53aeae51609cde0b301c8f973b139,42150,unsat,1,williams_first_order_carryover,6a33387751c3bd22424ee98b28101f4b1de99b8e0d0b6a0c2f86fca85c438527,0,0,0,0,0,0,viper-default,viper-default,"[""viper-default"",""viper-structural"",""llm2smt"",""z3""]",parser_inclusive_subprocess_wall_clock,1,timeout,5.004424125,124,-9,1,timeout,exceeded 5 seconds,,,"[""target/release/euf-viper"",""solve"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/PEQ/PEQ012_size6.smt2""]"
17,1,924,QF_UF/PEQ/PEQ012_size6.smt2,b3ef5c792f5df9f55bddc92062262b75b3f53aeae51609cde0b301c8f973b139,42150,unsat,1,williams_first_order_carryover,6a33387751c3bd22424ee98b28101f4b1de99b8e0d0b6a0c2f86fca85c438527,0,0,0,0,1,1,viper-structural,viper-structural,"[""viper-default"",""viper-structural"",""llm2smt"",""z3""]",parser_inclusive_subprocess_wall_clock,1,unsat,0.471641416,0,0,0,,,"unsat
",,"[""target/release/euf-viper"",""solve"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/PEQ/PEQ012_size6.smt2""]"
18,1,924,QF_UF/PEQ/PEQ012_size6.smt2,b3ef5c792f5df9f55bddc92062262b75b3f53aeae51609cde0b301c8f973b139,42150,unsat,1,williams_first_order_carryover,6a33387751c3bd22424ee98b28101f4b1de99b8e0d0b6a0c2f86fca85c438527,0,0,0,0,2,2,llm2smt,llm2smt,"[""viper-default"",""viper-structural"",""llm2smt"",""z3""]",parser_inclusive_subprocess_wall_clock,1,timeout,5.004801333,124,-9,1,timeout,exceeded 5 seconds,,,"[""third_party/solvers/llm2smt/build/bin/llm2smt"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/PEQ/PEQ012_size6.smt2""]"
19,1,924,QF_UF/PEQ/PEQ012_size6.smt2,b3ef5c792f5df9f55bddc92062262b75b3f53aeae51609cde0b301c8f973b139,42150,unsat,1,williams_first_order_carryover,6a33387751c3bd22424ee98b28101f4b1de99b8e0d0b6a0c2f86fca85c438527,0,0,0,0,3,3,z3,z3,"[""viper-default"",""viper-structural"",""llm2smt"",""z3""]",parser_inclusive_subprocess_wall_clock,1,unsat,3.077570333,0,0,0,,,"unsat
",,"[""/opt/homebrew/bin/z3"",""-smt2"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/PEQ/PEQ012_size6.smt2""]"
20,1,924,QF_UF/PEQ/PEQ012_size6.smt2,b3ef5c792f5df9f55bddc92062262b75b3f53aeae51609cde0b301c8f973b139,42150,unsat,1,williams_first_order_carryover,6a33387751c3bd22424ee98b28101f4b1de99b8e0d0b6a0c2f86fca85c438527,1,1,0,1,0,0,viper-structural,viper-structural,"[""viper-structural"",""z3"",""viper-default"",""llm2smt""]",parser_inclusive_subprocess_wall_clock,1,unsat,0.467335708,0,0,0,,,"unsat
",,"[""target/release/euf-viper"",""solve"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/PEQ/PEQ012_size6.smt2""]"
21,1,924,QF_UF/PEQ/PEQ012_size6.smt2,b3ef5c792f5df9f55bddc92062262b75b3f53aeae51609cde0b301c8f973b139,42150,unsat,1,williams_first_order_carryover,6a33387751c3bd22424ee98b28101f4b1de99b8e0d0b6a0c2f86fca85c438527,1,1,0,1,1,1,z3,z3,"[""viper-structural"",""z3"",""viper-default"",""llm2smt""]",parser_inclusive_subprocess_wall_clock,1,unsat,3.051560792,0,0,0,,,"unsat
",,"[""/opt/homebrew/bin/z3"",""-smt2"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/PEQ/PEQ012_size6.smt2""]"
22,1,924,QF_UF/PEQ/PEQ012_size6.smt2,b3ef5c792f5df9f55bddc92062262b75b3f53aeae51609cde0b301c8f973b139,42150,unsat,1,williams_first_order_carryover,6a33387751c3bd22424ee98b28101f4b1de99b8e0d0b6a0c2f86fca85c438527,1,1,0,1,2,2,viper-default,viper-default,"[""viper-structural"",""z3"",""viper-default"",""llm2smt""]",parser_inclusive_subprocess_wall_clock,1,timeout,5.004373167,124,-9,1,timeout,exceeded 5 seconds,,,"[""target/release/euf-viper"",""solve"",""/Users/airbartek/codex/z3/benchmarks/smtlib-2025/QF_UF/QF_UF/PEQ/PEQ012_size6.smt2""]"
